precision,recall
0.2115914805950253,1.0
0.21157751174420367,0.9995704467353952
0.2115938513779826,0.9992840778923253
0.27562532621351427,0.9829610538373424
0.283038415316398,0.9779495990836197
0.29896090172595985,0.9722222222222222
0.30035460992907803,0.9702176403207331
0.3073589123591405,0.9646334478808706
0.3367690580671497,0.9450171821305842
0.34914368030731474,0.9369988545246277
0.34930043789383747,0.9365693012600229
0.3568832599118943,0.9279782359679267
0.3827893175074184,0.9050687285223368
0.4135126050420168,0.8807273768613975
0.4173711480774475,0.8765750286368843
0.4233490566037736,0.8738545246277205
0.42849059272881596,0.8674112256586484
0.43161659513590844,0.8639747995418099
0.431751485219383,0.86368843069874
0.43321118057052527,0.8632588774341352
0.4430032611918174,0.8558132875143184
0.44333184987390595,0.8558132875143184
0.44543280011959935,0.8532359679266895
0.45724530360901083,0.8399198167239404
0.46427142514203407,0.8307560137457045
0.4641742054279081,0.8301832760595648
0.4947815319299487,0.8009736540664376
0.4979445933869526,0.797823596792669
0.5016304347826087,0.7929553264604811
0.5058000368256307,0.7866552119129439
0.5078168620882189,0.7813573883161512
0.5259098101265823,0.7614547537227949
0.5340377971956919,0.7525773195876289
0.5413167444271644,0.7475658648339061
0.5428511705685619,0.7436998854524628
0.5438670313486219,0.7402634593356243
0.5513279132791328,0.7282359679266895
0.554799033604217,0.7233676975945017
0.5595304639463388,0.7166380297823597
0.5737359550561798,0.7018900343642611
0.5883431085043989,0.6894329896907216
0.6005334688174775,0.6769759450171822
0.6043360433604336,0.6705326460481099
0.6057929601246915,0.6678121420389461
0.608433734939759,0.6652348224513173
0.6087526205450734,0.6652348224513173
0.6146984422846492,0.6610824742268041
0.6252234905790125,0.6509163802978236
0.6274455390592479,0.6474799541809851
0.6273283291631916,0.6461912943871707
0.627625539017944,0.6460481099656358
0.6323092170465807,0.6394616265750286
0.6342995858917607,0.6360252004581901
0.6360900100329655,0.6354524627720504
0.6370168127604541,0.6347365406643757
0.6416058394160584,0.6292955326460481
0.6416776267718837,0.6287227949599083
0.6435191996469031,0.6262886597938144
0.6445951924494913,0.6258591065292096
0.6545314900153609,0.6101088201603666
0.664434879642914,0.5967926689576174
0.6763630319148937,0.5826174112256587
0.6775162744116174,0.5811855670103093
0.680668016194332,0.5777491408934707
0.6885903698534543,0.5651489117983963
0.697746274082152,0.5496849942726232
0.7003484320557491,0.5468213058419243
0.7103313840155946,0.5217640320733105
0.7102749073893546,0.5216208476517755
0.7136028679545907,0.5130297823596792
0.7163034705407587,0.5083046964490263
0.7235051546391753,0.5024341351660939
0.7450444292549556,0.468213058419244
0.7449142857142858,0.4666380297823597
0.7504105090311987,0.45804696449026344
0.7545152091254753,0.45461053837342497
0.7538167938931297,0.4524627720504009
0.7573404513467605,0.4468785796105384
0.7642642642642643,0.4372852233676976
0.7662565905096661,0.4369988545246277
0.7677403120281832,0.4368556701030928
0.7738801942795467,0.4106529209621993
0.7804329491144223,0.3974799541809851
0.7816901408450704,0.39733676975945015
0.8043619791666666,0.35380870561282934
0.8045602605863192,0.3536655211912944
0.8504968383017163,0.26961626575028635
0.8688693856479092,0.24097938144329897
0.8701500258665287,0.24083619702176404
0.8700828157349897,0.2406930126002291
0.8706942236354,0.23525200458190149
0.8715498938428875,0.23510882016036655
0.8727369542066028,0.23467926689576174
0.8741144414168938,0.22966781214203894
0.876329043088976,0.22422680412371135
0.930672268907563,0.06343069873997709
0.9302325581395349,0.06300114547537228
0.9310344827586207,0.061855670103092786
0.9292035398230089,0.06013745704467354
0.8222222222222222,0.005297823596792669
0.6923076923076923,0.002577319587628866
1.0,0.0
