precision,recall
0.2115914805950253,1.0
0.21166555508397503,0.9997136311569301
0.22974934036939315,0.9974226804123711
0.23247035243026556,0.9964203894616266
0.24426217966769925,0.9935567010309279
0.2614406298497294,0.9889747995418099
0.26559371630987216,0.9876861397479955
0.2761368209255533,0.9825315005727376
0.27880193708541895,0.9809564719358533
0.289769820971867,0.9733676975945017
0.3066630380550642,0.968069873997709
0.30730421344484343,0.968069873997709
0.3283743310256788,0.9576174112256587
0.32882572777340674,0.9574742268041238
0.3292112134798246,0.9567583046964491
0.3329666483324166,0.9534650630011455
0.335183409859226,0.9511741122565864
0.34853074020936287,0.9391466208476518
0.3486999521454777,0.9390034364261168
0.3516099553835403,0.9365693012600229
0.35204136593773566,0.9358533791523482
0.35260146804835923,0.9354238258877434
0.4063056526614339,0.8820160366552119
0.423728813559322,0.8626861397479955
0.42703893151463485,0.8606815578465064
0.43705985915492956,0.8530927835051546
0.4977152899824253,0.8109965635738832
0.5054777298850575,0.8059851088201604
0.5060393005228051,0.8038373424971363
0.5152357136241549,0.7965349369988545
0.5156133828996282,0.7943871706758304
0.521784428869104,0.7888029782359679
0.524811167415623,0.7859392898052692
0.5251819226350057,0.7853665521191294
0.5273866923818707,0.7830756013745704
0.5408040201005025,0.770475372279496
0.5409671257665628,0.770475372279496
0.5474894753054729,0.763459335624284
0.5596743089779301,0.7479954180985109
0.5659058643660587,0.7419816723940436
0.601390074381173,0.7061855670103093
0.6038036809815951,0.704610538373425
0.603683241252302,0.7040378006872853
0.6086685764105119,0.6997422680412371
0.6099875156054931,0.6995990836197021
0.6282694848084545,0.6809851088201604
0.628786876570975,0.6805555555555556
0.638081000271813,0.6722508591065293
0.637996733805117,0.6712485681557846
0.6432230375190364,0.6652348224513173
0.6485420481757994,0.6592210767468499
0.6486181613085167,0.6586483390607102
0.6606535561141506,0.6397479954180985
0.6671187462326703,0.6338774341351661
0.6712538226299695,0.6285796105383734
0.6755713403335393,0.6264318442153494
0.6889211417513305,0.6116838487972509
0.689003713870499,0.6109679266895762
0.6897945980915413,0.6106815578465064
0.6944125839750942,0.606815578465063
0.694476315358138,0.606672394043528
0.7124956491472328,0.5861970217640321
0.7202934860415175,0.5763172966781214
0.7263891435906841,0.5671534936998854
0.7338740098076197,0.5571305841924399
0.7339120588790338,0.55684421534937
0.7416324133881386,0.5425257731958762
0.745172207843918,0.5359392898052692
0.7487794955248169,0.5270618556701031
0.7644251626898048,0.504581901489118
0.7663019693654267,0.5014318442153494
0.769213682807641,0.49584765177548684
0.778500116090086,0.4800973654066438
0.7800559179869525,0.4793814432989691
0.7865222623345367,0.4679266895761741
0.7883533153902618,0.46134020618556704
0.7885181550539745,0.4601947308132875
0.7884143348060874,0.4599083619702176
0.7896039603960396,0.456758304696449
0.8179723502304147,0.4066437571592211
0.8187066974595842,0.40607101947308133
0.8245667376102158,0.38831615120274915
0.8405172413793104,0.3629725085910653
0.8481404958677686,0.35266323024054985
0.8664136622390892,0.3268900343642612
0.8668954996186118,0.3254581901489118
0.8762417218543046,0.3031214203894616
0.8761467889908257,0.3008304696449026
0.8757346767422334,0.2986827033218786
0.8772226926333616,0.29667812142038946
0.8947368421052632,0.23124284077892326
0.8943089430894309,0.22050400916380297
0.906801007556675,0.20618556701030927
0.9086816720257235,0.20231958762886598
0.9092088197146563,0.20074455899198168
0.9174649963154016,0.17826460481099657
0.944672131147541,0.06600801832760596
0.946611909650924,0.06600801832760596
0.9459459459459459,0.06514891179839634
0.9466666666666667,0.06099656357388316
0.9,0.010309278350515464
0.8813559322033898,0.0074455899198167235
0.96875,0.004438717067583047
1.0,0.0
