mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate,param_model__max_iter,param_model__solver,param_reduce_dim,param_reduce_dim__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.8854780991872153,1.8135548110696325,0.07288479804992676,0.01910805137535112,logistic,0.0001,"(32, 32, 32, 32)",constant,1000,sgd,PCA(),mle,"{'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 32, 32, 32), 'model__learning_rate': 'constant', 'model__max_iter': 1000, 'model__solver': 'sgd', 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.705287868530381,0.5058315597563472,0.3740745823873699,0.5283980035580327,0.13615553243455075,240
21.283554474512737,5.74189062039501,0.07460284233093262,0.021619718860096917,logistic,0.0001,"(32, 32, 32, 32)",constant,1000,adam,PCA(),mle,"{'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 32, 32, 32), 'model__learning_rate': 'constant', 'model__max_iter': 1000, 'model__solver': 'adam', 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.8847172637750453,0.884519311735261,0.8922015421777224,0.8871460392293429,0.0035756937600339898,25
5.685817718505859,1.4719341289332861,0.08467396100362141,0.021071408611186945,logistic,0.0001,"(32, 32, 32, 32)",invscaling,1000,sgd,PCA(),mle,"{'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 32, 32, 32), 'model__learning_rate': 'invscaling', 'model__max_iter': 1000, 'model__solver': 'sgd', 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.5425789798864534,0.5514026275284305,0.3155262823559838,0.4698359632569559,0.10917286721601151,375
26.447548071543377,10.509543985719235,0.06630055109659831,0.018387263664581776,logistic,0.0001,"(32, 32, 32, 32)",invscaling,1000,adam,PCA(),mle,"{'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 32, 32, 32), 'model__learning_rate': 'invscaling', 'model__max_iter': 1000, 'model__solver': 'adam', 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.8855333772184073,0.8848041103655634,0.8921482437285161,0.8874952437708289,0.003303610549115595,3
16.800427834192913,7.881737046511819,0.05735532442728678,0.0040672897308629405,logistic,0.0001,"(32, 32, 32, 32)",adaptive,1000,sgd,PCA(),mle,"{'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 32, 32, 32), 'model__learning_rate': 'adaptive', 'model__max_iter': 1000, 'model__solver': 'sgd', 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.4240756124424039,0.3663093458717278,0.7531315593270602,0.5145055058803973,0.17037415771574793,244
21.159562905629475,10.140754866973053,0.0673230489095052,0.018197233797667908,logistic,0.0001,"(32, 32, 32, 32)",adaptive,1000,adam,PCA(),mle,"{'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 32, 32, 32), 'model__learning_rate': 'adaptive', 'model__max_iter': 1000, 'model__solver': 'adam', 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.8851090762226589,0.8849174689979338,0.8923781431941848,0.8874682294715925,0.003472714395072647,4
2.6357054710388184,0.06793664270694388,0.052642265955607094,0.0008545670743798102,logistic,0.0001,"(16, 16, 16, 16, 16, 16, 16, 16)",constant,1000,sgd,PCA(),mle,"{'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16, 16, 16, 16, 16, 16, 16, 16), 'model__learning_rate': 'constant', 'model__max_iter': 1000, 'model__solver': 'sgd', 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.40030296151454314,0.5915463900193596,0.4265356344109891,0.47279499531496394,0.0846500978144832,374
28.725441376368206,7.696107657552321,0.06932202974955241,0.023972738072255525,logistic,0.0001,"(16, 16, 16, 16, 16, 16, 16, 16)",constant,1000,adam,PCA(),mle,"{'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16, 16, 16, 16, 16, 16, 16, 16), 'model__learning_rate': 'constant', 'model__max_iter': 1000, 'model__solver': 'adam', 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.884805614550987,0.8848517490940471,0.8917098514498998,0.8871224050316447,0.003243869148541325,28
2.5644143422444663,0.009947101831899974,0.053108533223470054,0.001101335159265389,logistic,0.0001,"(16, 16, 16, 16, 16, 16, 16, 16)",invscaling,1000,sgd,PCA(),mle,"{'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16, 16, 16, 16, 16, 16, 16, 16), 'model__learning_rate': 'invscaling', 'model__max_iter': 1000, 'model__solver': 'sgd', 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.37248702302713516,0.6759782537994362,0.4216345879243181,0.4900332882502965,0.13300505865977122,368
12.235844532648722,6.7089305173224805,0.050501346588134766,0.001820225229877715,logistic,0.0001,"(16, 16, 16, 16, 16, 16, 16, 16)",invscaling,1000,adam,PCA(),mle,"{'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16, 16, 16, 16, 16, 16, 16, 16), 'model__learning_rate': 'invscaling', 'model__max_iter': 1000, 'model__solver': 'adam', 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.8847108075388437,0.5,0.8920753243196089,0.7589287106194842,0.18311493096623765,178
