mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_reduce_dim,param_reduce_dim__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
14.986222902933756,1.3347053774996394,0.2553618748982747,0.030278375255843547,10,1,5,100,PCA(),5,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'reduce_dim': PCA(), 'reduce_dim__n_components': 5}",0.816866870032536,0.8212599147484652,0.8293639997750955,0.8224969281853656,0.005176370326325523,242
23.835371891657513,1.5925157214092673,0.28591036796569824,0.00551594371181043,10,1,5,100,PCA(),10,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'reduce_dim': PCA(), 'reduce_dim__n_components': 10}",0.8812733662515957,0.8826201414563208,0.8887299723541295,0.8842078266873488,0.003244564884716616,53
20.700708309809368,0.692241047360245,0.2179856300354004,0.00774886491042203,10,1,5,100,PCA(),mle,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.8820658553177152,0.8826726997377492,0.8892496198547375,0.8846627249700673,0.003252872428054095,25
0.3063818613688151,0.05155719625091765,0.0,0.0,10,1,5,100,LatentDirichletAllocation(),5,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 5}",,,,,,244
0.28714879353841144,0.010165856590881603,0.0,0.0,10,1,5,100,LatentDirichletAllocation(),10,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 10}",,,,,,244
0.3099304835001628,0.04971909493163994,0.0,0.0,10,1,5,100,LatentDirichletAllocation(),mle,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 'mle'}",,,,,,244
28.909847100575764,3.238159949302738,0.4733846187591553,0.05044734736955977,10,1,5,200,PCA(),5,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'reduce_dim': PCA(), 'reduce_dim__n_components': 5}",0.8174998473530347,0.822082048028554,0.8300354033293141,0.8232057662369675,0.005178937977845066,224
43.54568235079447,3.871412687563461,0.4868335723876953,0.04802686924788706,10,1,5,200,PCA(),10,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'reduce_dim': PCA(), 'reduce_dim__n_components': 10}",0.8814321320945679,0.8828267982728634,0.8888581430238476,0.8843723577970929,0.0032226257681842573,45
42.844266414642334,3.9109557569738316,0.4858217239379883,0.05963535650040623,10,1,5,200,PCA(),mle,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'reduce_dim': PCA(), 'reduce_dim__n_components': 'mle'}",0.8822564767748324,0.8826958381950092,0.889400585189862,0.8847843000532345,0.003269130971310322,17
0.2658555507659912,0.006906453254057647,0.0,0.0,10,1,5,200,LatentDirichletAllocation(),5,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 5}",,,,,,244
0.2648344834645589,0.0015297108002425629,0.0,0.0,10,1,5,200,LatentDirichletAllocation(),10,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 10}",,,,,,244
0.2668604056040446,0.002748027672818749,0.0,0.0,10,1,5,200,LatentDirichletAllocation(),mle,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'reduce_dim': LatentDirichletAllocation(), 'reduce_dim__n_components': 'mle'}",,,,,,244
41.157300551732384,0.5828168388338898,0.6606372197469076,0.03927280690274308,10,1,5,300,PCA(),5,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 300, 'reduce_dim': PCA(), 'reduce_dim__n_components': 5}",0.8176432571960479,0.8219082991369467,0.8292454987723469,0.8229323517017805,0.004791625690748186,234
